Nombre_Usuario;ID_Medio;Nombre_Red;N_Seguidores;Fecha_Actualizacion
TelemundoPR;1;Twitter;247.610;23-06-2023
GuerrerosWapa;2;Twitter;9.002;23-12-2022
Univision Noticias;3;Twitter;13.299.981;26-06-2023
elimparcial.es;4;Twitter;11.350;26-06-2023
Radio Isla 1320;5;Twitter;167.884;26-06-2023
78pr.com;6;Facebook;176;29-04-2020
El Nuevo Dia;7;Facebook;2.400.000;26-06-2023
Primera Hora;8;Facebook;2.000.000;26-06-2023
metropr;9;Instagram;273.000;26-06-2023
NotiCel;10;Twitter;316.329;26-06-2023
El Vocero de Puerto Rico;11;Facebook;1.400.000;26-06-2023
elcalcepr;12;Instagram;23.952;27-06-2023
PERIODICO EL EXPRESSO DE PUERTO RICO;13;Facebook;19.635;22-06-2023
El Post Antillano;14;Facebook;14.362;26-06-2023
El Nuevo Herald;15;Facebook;389.320;27-06-2023
El Adoquín Times ;16;Facebook;23.000;26-06-2023
La Isla Oeste;17;Facebook;79.245;27-06-2023
NotiUno 630 AM;18;Facebook;761.000;27-06-2023
Cadena Radio Universidad de Puerto Rico;19;Twitter;16.512;18-06-2023
Sin Comillas;20;Facebook;10.000;27-06-2023
80grados;21;Facebook;68.277;09-06-2023
Periódico Claridad;22;Facebook;25.000;27-06-2023
Periódico El Oriental;23;Facebook;55.000;27-06-2023
Periódico El Sol de Puerto Rico;24;Facebook;45.000;27-06-2023
La Perla del Sur;25;Facebook;117.000;27-06-2023
La Iguana;26;Facebook;383.000;28-07-2023
La calle TV en vivo;27;Facebook;919;25-06-2023
The San Juan Daily Star;28;Facebook;6.600;28-06-2023
Fundación Voz del Centro;29;Facebook;3.900;25-06-2023
Centro de Periodismo Investigativo ;30;Facebook;78.000;28-06-2023
Diálogo UPR;31;Facebook;49.754;07-05-2022
